audio_id,chunk_id,encodec_encoder_ms,quantizer_3cb_ms,quantizer_4cb_ms,plain_pack_ms,conv_encode_pack_ms,vogeo_encode_only_ms,vogeo_pack_ms,uncoded_total_ms,conv_total_ms,proposed_total_ms
75,5,46.841267,3.938466,3.894304,0.043009,0.759047,0.460354,0.006171,50.77858,51.53878,51.246258000000005
75,6,45.252501,3.834403,3.942252,0.043901,0.761509,0.464461,0.006378,49.238654000000004,49.848413,49.557743
75,7,46.853537,3.856511,3.936397,0.043442,0.769107,0.494754,0.006774,50.833376,51.479155,51.211576
75,8,47.61575,4.046008,3.963509,0.044924,0.762088,0.490886,0.006385,51.624183,52.423846,52.159029000000004
75,9,46.016873,3.804158,3.926262,0.042158,0.754551,0.489453,0.005574,49.985293,50.575582,50.316058
75,10,48.448568,3.993253,3.954481,0.043797,0.765018,0.459323,0.00591,52.446846,53.206839,52.907054
75,11,47.703572,3.899518,3.932373,0.044251,0.760135,0.467183,0.005212,51.680196,52.363225,52.075485
76,0,47.701121,4.022654,3.998867,0.047313,0.777637,0.506636,0.00584,51.747301,52.501412,52.236251
76,1,47.474731,3.870859,3.855571,0.048497,0.765094,0.468894,0.006057,51.378798999999994,52.110684,51.820541
76,2,46.963419,3.833643,3.881399,0.044349,0.759184,0.46945,0.006262,50.889167,51.556246,51.272774000000005
76,3,45.506792,3.850347,3.872011,0.044488,0.765189,0.499686,0.006437,49.423291,50.122327999999996,49.86326199999999
76,4,47.493641,3.936863,3.885273,0.046597,0.77047,0.479836,0.006352,51.42551099999999,52.200974,51.916692
76,5,47.95272,3.887258,3.898772,0.043647,0.759548,0.46925,0.006351,51.895139,52.599526000000004,52.31557900000001
76,6,46.360444,3.85996,3.862643,0.044191,0.750551,0.467871,0.00603,50.267278,50.970955000000004,50.69430500000001
76,7,49.060697,3.979354,3.956942,0.046583,0.776679,0.504491,0.007121,53.064221999999994,53.81673,53.551663
76,8,47.419108,3.890424,3.960272,0.051135,0.768844,0.489237,0.007728,51.430515,52.078376000000006,51.80649700000001
76,9,46.55849,3.847564,3.89964,0.059732,0.774721,0.493299,0.005946,50.517861999999994,51.180775,50.905299
76,10,48.67843,3.90175,3.919922,0.043116,0.760055,0.472527,0.006446,52.641467999999996,53.340235,53.059152999999995
76,11,48.30891,3.979886,3.900749,0.044715,0.780822,0.507985,0.007567,52.25437399999999,53.069618,52.804348
76,12,45.066024,3.81345,3.928372,0.044758,0.757834,0.4645,0.005947,49.039154,49.637308000000004,49.349921
76,13,45.904519,3.912858,3.88271,0.045018,0.761539,0.470268,0.006877,49.832247,50.578916,50.294522
76,14,46.232315,3.843138,3.872045,0.043193,0.761463,0.447519,0.005747,50.147553,50.836916,50.528719
77,0,49.755366,3.98846,3.953649,0.045073,0.760709,0.482911,0.006866,53.754088,54.504535,54.233603
77,1,47.635705,3.842844,3.937083,0.042907,0.761852,0.469799,0.0076,51.615695,52.240401,51.955948
77,2,48.814627,4.072573,4.014843,0.043791,0.78478,0.588102,0.006838,52.873261,53.67198,53.48214
77,3,45.511758,4.054179,4.054086,0.045445,0.76715,0.478412,0.00558,49.611289,50.333087,50.049929
77,4,48.386568,3.882902,3.912733,0.043763,0.761523,0.467583,0.006316,52.343064,53.030992999999995,52.743368999999994
77,5,49.047746,3.968077,4.004612,0.049066,0.76266,0.486044,0.007092,53.101424,53.778482999999994,53.508959
77,6,47.872882,3.91655,3.941337,0.044585,0.763401,0.473144,0.007267,51.85880399999999,52.552833,52.269842999999995
77,7,45.753884,3.873609,3.864017,0.045316,0.77445,0.481805,0.005805,49.663216999999996,50.401943,50.115103000000005
77,8,44.441965,3.824927,3.969549,0.048408,0.774281,0.523584,0.006266,48.459922000000006,49.04117300000001,48.796742
77,9,47.013598,3.932734,3.903968,0.044656,0.756736,0.505549,0.006347,50.962222000000004,51.703067999999995,51.458228
77,10,44.488244,3.845567,3.966739,0.045965,0.765,0.46891,0.005519,48.500948,49.098811000000005,48.808240000000005
77,11,46.106608,3.913114,3.949423,0.044824,0.760962,0.476231,0.006548,50.100855,50.780684,50.502501
77,12,47.727325,3.954289,3.880884,0.044316,0.756033,0.461043,0.005652,51.652525000000004,52.437647000000005,52.148309
77,13,47.107967,3.88144,3.899972,0.04445,0.75569,0.472736,0.006962,51.052389,51.745097,51.469105
78,0,47.422833,3.886809,3.866342,0.043333,0.761966,0.472732,0.006359,51.332508,52.071608,51.788733
