method,audio_id,estoi,tx_gain_db
conv,95,0.173952,32.00
3,95,0.210418,32.00
proposed,96,0.448219,32.00
conv,96,0.131056,32.00
3,96,0.164459,32.00
proposed,97,0.486371,32.00
conv,97,0.097067,32.00
3,97,0.188856,32.00
proposed,98,0.397128,32.00
conv,98,0.117259,32.00
3,98,0.131552,32.00
proposed,99,0.545551,32.00
conv,99,0.152207,32.00
3,99,0.181387,32.00
proposed,0,0.691596,34.00
conv,0,0.632789,34.00
3,0,0.433333,34.00
proposed,1,0.724257,34.00
conv,1,0.762002,34.00
3,1,0.501914,34.00
proposed,2,0.744898,34.00
conv,2,0.745915,34.00
3,2,0.546854,34.00
proposed,3,0.743499,34.00
conv,3,0.771237,34.00
3,3,0.557279,34.00
proposed,4,0.738259,34.00
conv,4,0.744622,34.00
3,4,0.495322,34.00
proposed,5,0.744926,34.00
conv,5,0.761951,34.00
3,5,0.586505,34.00
proposed,6,0.749426,34.00
conv,6,0.768981,34.00
3,6,0.577210,34.00
proposed,7,0.796238,34.00
conv,7,0.823855,34.00
3,7,0.588521,34.00
proposed,8,0.758371,34.00
conv,8,0.783914,34.00
3,8,0.599929,34.00
proposed,9,0.747099,34.00
conv,9,0.766153,34.00
3,9,0.590579,34.00
proposed,10,0.745892,34.00
conv,10,0.781122,34.00
3,10,0.608749,34.00
proposed,11,0.755355,34.00
conv,11,0.772577,34.00
3,11,0.556704,34.00
proposed,12,0.765919,34.00
conv,12,0.794784,34.00
3,12,0.565522,34.00
proposed,13,0.743787,34.00
conv,13,0.759759,34.00
3,13,0.571815,34.00
proposed,14,0.771266,34.00
conv,14,0.794741,34.00
3,14,0.575519,34.00
proposed,15,0.765073,34.00
conv,15,0.781723,34.00
3,15,0.571250,34.00
proposed,16,0.734942,34.00
conv,16,0.755133,34.00
3,16,0.571855,34.00
proposed,17,0.778509,34.00
conv,17,0.787885,34.00
3,17,0.579896,34.00
proposed,18,0.745012,34.00
conv,18,0.777170,34.00
3,18,0.554125,34.00
proposed,19,0.740626,34.00
conv,19,0.781706,34.00
3,19,0.615794,34.00
proposed,20,0.742552,34.00
conv,20,0.762104,34.00
3,20,0.537906,34.00
proposed,21,0.743907,34.00
